id,sport,question,answer,difficulty,points,category_tag
28,MLB,What player was known as Mr October,Reggie Jackson,Easy,1,Nicknames
29,MLB,Who has the highest career batting average,Ty Cobb - .366,Medium,2,Records
30,MLB,What is the term for four strikeouts in one game by a batter,Golden Sombrero,Easy,1,Quirky
31,MLB,Which team relocated from Montreal to Washington Nationals,Montreal Expos,Medium,2,History
32,MLB,Who was the first 40 40 player,Jose Canseco,Medium,2,Records
33,MLB,What pitcher threw a no hitter while on LSD according to legend,Dock Ellis,Easy,1,Quirky
34,MLB,Who caught the final out of the 2004 World Series,Johnny Damon,Hard,3,History
35,MLB,What is the nickname for a walk off home run,Walk off,Easy,1,Rules
36,MLB,Who was the first player to reach 3000 hits and 500 home runs,Hank Aaron,Medium,2,Records
37,MLB,Which stadium is nicknamed The Green Monster home,Fenway Park,Easy,1,Stadiums
38,MLB,Who has the most RBIs all time,Hank Aaron - 2297,Medium,2,Records
39,MLB,Which player played for both the Yankees and Red Sox and was controversial,Babe Ruth,Medium,2,History
40,MLB,What is the infield fly rule designed to prevent,Fielders intentionally dropping easy pop ups for double plays,Hard,3,Rules
41,MLB,Who won the most Cy Young Awards,Roger Clemens - 7,Easy,1,Awards
42,MLB,Which player was known as The Iron Man for consecutive games played,Cal Ripken Jr - 2632,Easy,1,Records
43,MLB,What is the term for hitting for the cycle,Single double triple and home run in one game,Easy,1,Rules
44,MLB,Who was the first unanimous MVP in MLB history,Frank Robinson,Hard,3,History
45,MLB,Which team has a rally monkey as a mascot,Los Angeles Angels,Easy,1,Quirky
46,MLB,What pitcher has the most no hitters,Nolan Ryan - 7,Easy,1,Records
47,MLB,Who was nicknamed The Big Unit,Randy Johnson,Easy,1,Nicknames
48,MLB,What is a balk,Illegal pitching motion advancing runners,Medium,2,Rules
49,MLB,Which player famously charged the mound at Nolan Ryan,Robin Ventura,Medium,2,Quirky
50,MLB,Who hit the longest recorded home run,Mickey Mantle estimated 565 feet,Hard,3,Quirky
51,MLB,Who was the first player to hit 60 home runs in a season,Babe Ruth - 60 in 1927,Easy,1,Records
52,MLB,Which team won the 2016 World Series,Chicago Cubs,Easy,1,Championships
53,MLB,Who has the most career doubles,Tris Speaker - 792,Hard,3,Records
54,MLB,What is the standard height of the pitchers mound,10 inches,Medium,2,Rules
55,MLB,Who was the first designated hitter in MLB,Ron Blomberg,Hard,3,History
56,MLB,Which player has the most career games played,Pete Rose - 3562,Medium,2,Records
57,MLB,Who won the 2020 World Series,Los Angeles Dodgers,Easy,1,Championships
58,MLB,Which pitcher had a 20 strikeout game in 1986,Roger Clemens,Medium,2,Records
59,MLB,Who holds the record for most runs scored,Rickey Henderson - 2295,Medium,2,Records
60,MLB,What is the foul pole used to determine,Fair or foul on deep hits,Easy,1,Rules
61,MLB,Which team was formerly known as the Devil Rays,Tampa Bay Rays,Easy,1,Teams
62,MLB,Who won back to back MVP awards in 2012 and 2013,Miguel Cabrera,Medium,2,Awards
63,MLB,What is the term for a pitcher striking out three batters on nine pitches,Immaculate Inning,Medium,2,Quirky
64,MLB,Who has the most career triples,Sam Crawford - 309,Hard,3,Records
65,MLB,Which team plays at Dodger Stadium,Los Angeles Dodgers,Easy,1,Teams
66,MLB,Who broke the color barrier in the American League,Larry Doby,Medium,2,History
67,MLB,What does WHIP stand for,Walks and Hits per Inning Pitched,Medium,2,Stats
68,MLB,Who was known as The Kid in MLB,Ken Griffey Jr,Easy,1,Nicknames
69,MLB,Which pitcher won 300 games most recently,Randy Johnson - 303,Hard,3,Records
70,MLB,Who hit a walk off home run in Game 7 of the 1960 World Series,Bill Mazeroski,Hard,3,History
71,MLB,Which team has the most losses in a single season,New York Mets - 120 losses in 1962,Hard,3,Records
72,MLB,What is the term for a relief pitcher entering with runners on base,Inherited Runners,Easy,1,Stats
73,MLB,Who won the 1998 AL MVP,Juan Gonzalez,Hard,3,Awards
74,MLB,Which stadium was nicknamed The House That Ruth Built,Yankee Stadium original,Medium,2,Stadiums
75,MLB,Who has the most career shutouts,Walter Johnson - 110,Hard,3,Records
76,MLB,What is a squeeze play,Bunt to score a runner from third,Medium,2,Rules
77,MLB,Who was the first pitcher to throw 100 mph officially,Nolan Ryan,Medium,2,Records
78,MLB,Which team won the 1986 World Series,New York Mets,Easy,1,Championships
79,MLB,Who holds the record for most errors by a shortstop,Bill Dahlen - 975,Hard,3,Records
80,MLB,What is the Mendoza Line,Batting average around 200,Easy,1,Quirky
81,MLB,Who won the 2017 World Series,Houston Astros,Easy,1,Championships
82,MLB,Which player has the most career grand slams,Alex Rodriguez - 25,Medium,2,Records
83,MLB,Who was the first player to win Rookie of the Year and MVP in same season,Fred Lynn,Hard,3,Records
84,MLB,What is OPS short for,On base plus slugging,Medium,2,Stats
85,MLB,Which team has a sausage race during games,Milwaukee Brewers,Easy,1,Quirky
86,MLB,Who hit the first home run in MLB history,William Hoy,Hard,3,History
87,MLB,Which player was known as The Splendid Splinter,Ted Williams,Easy,1,Nicknames
88,MLB,What is a can of corn,Easy fly ball,Easy,1,Quirky
89,MLB,Who has the most career intentional walks,Barry Bonds - 688,Hard,3,Records
90,MLB,Which team won the 2009 World Series,New York Yankees,Easy,1,Championships
91,MLB,Who was the first closer to record 500 saves,Trevor Hoffman,Medium,2,Records
92,MLB,What is a double switch,Substitution involving pitcher and position player,Hard,3,Rules
93,MLB,Which player famously flipped his bat in 2015 playoffs,Jose Bautista,Easy,1,Quirky
94,MLB,Who has the most career hit by pitches,Hughie Jennings - 287,Hard,3,Records
95,MLB,Which team moved from Seattle to become the Milwaukee Brewers,Seattle Pilots,Medium,2,History
96,MLB,What is a ground rule double,Ball automatically awarded two bases,Easy,1,Rules
97,MLB,Who won the 2001 World Series,Arizona Diamondbacks,Medium,2,Championships
98,MLB,Which player has the highest single season batting average since 1941,Ted Williams - 406,Hard,3,Records
99,MLB,What is the term for a pitcher who throws sidearm,Submarine pitcher,Medium,2,Quirky
100,MLB,Who caught the final out of the 2016 World Series,Michael Martinez,Hard,3,History
101,NBA,Who is the all time leading scorer in NBA history,LeBron James - over 39000 points,Easy,1,Records
102,NBA,Which team has won the most NBA championships,Boston Celtics - 17 tied,Easy,1,Championships
103,NBA,Who is known as His Airness,Michael Jordan,Easy,1,Nicknames
104,NBA,What year was the NBA founded,1946,Medium,2,History
105,NBA,Who has the most career assists,John Stockton - 15806,Easy,1,Records
106,NBA,Which team drafted Kobe Bryant,Charlotte Hornets traded to Los Angeles Lakers,Medium,2,History
107,NBA,Who has the most career rebounds,Wil Chamberlain - 23924,Medium,2,Records
108,NBA,What is a triple double,Double digits in three statistical categories,Easy,1,Rules
109,NBA,Who won the 2016 NBA Finals,Cleveland Cavaliers,Easy,1,Championships
110,NBA,Which player scored 100 points in a single game,Wil Chamberlain - 100,Easy,1,Records
111,NBA,Who has the most MVP awards,Kareem Abdul Jabbar - 6,Easy,1,Awards
112,NBA,What team is known as the Showtime Lakers,Los Angeles Lakers,Easy,1,Nicknames
113,NBA,Who was the first overall pick in the 2003 NBA Draft,LeBron James,Easy,1,History
114,NBA,Which player is known as The Greek Freak,Giannis Antetokounmpo,Easy,1,Nicknames
115,NBA,Who has the most career steals,John Stockton - 3265,Medium,2,Records
116,NBA,What is the length of an NBA game,48 minutes,Easy,1,Rules
117,NBA,Who won the 2020 NBA Finals,Los Angeles Lakers,Easy,1,Championships
118,NBA,Which player is known as The Answer,Allen Iverson,Easy,1,Nicknames
119,NBA,Who holds the record for most three pointers made,Stephen Curry,Easy,1,Records
120,NBA,What is a slam dunk,Forceful downward score into basket,Easy,1,Rules
121,NBA,Who was the Finals MVP in 1998,Michael Jordan,Medium,2,Championships
122,NBA,Which team relocated from Seattle to become the Oklahoma City Thunder,Seattle SuperSonics,Medium,2,History
123,NBA,Who has the highest career points per game average,Michael Jordan - 30.1,Medium,2,Records
124,NBA,What is a technical foul,Violation of sportsmanship rules,Medium,2,Rules
125,NBA,Who won Rookie of the Year in 2019,Luka Doncic,Medium,2,Awards
126,NBA,Which player was known as Big Fundamental,Tim Duncan,Easy,1,Nicknames
127,NBA,Who has the most career blocks,Hakeem Olajuwon - 3830,Hard,3,Records
128,NBA,What is the three point line distance,23.75 feet average,Medium,2,Rules
129,NBA,Who won the 2019 NBA Finals,Toronto Raptors,Easy,1,Championships
130,NBA,Which player is known as KD,Kevin Durant,Easy,1,Nicknames
131,NBA,Who has the most triple doubles,Russell Westbrook,Medium,2,Records
132,NBA,What is a shot clock violation,Failure to shoot within 24 seconds,Easy,1,Rules
133,NBA,Who was the first player to win MVP unanimously,Stephen Curry - 2016,Medium,2,Records
134,NBA,Which team has a dinosaur mascot,Toronto Raptors,Easy,1,Quirky
135,NBA,Who has the most career turnovers,LeBron James,Hard,3,Records
136,NBA,What is goaltending,Illegal interference with ball on way down,Medium,2,Rules
137,NBA,Who won the 2008 NBA Finals,Boston Celtics,Easy,1,Championships
138,NBA,Which player is known as The Beard,James Harden,Easy,1,Nicknames
139,NBA,Who has the most career games played,Robert Parish - 1611,Hard,3,Records
140,NBA,What is a fast break,Quick transition scoring opportunity,Easy,1,Rules
141,NBA,Who won MVP in 2000,Shaquille O Neal,Medium,2,Awards
142,NBA,Which team drafted Dirk Nowitzki,Milwaukee Bucks traded to Dallas Mavericks,Hard,3,History
143,NBA,Who has the most career free throws made,Karl Malone - 9787,Medium,2,Records
144,NBA,What is a double dribble,Illegal second dribble after stopping,Easy,1,Rules
145,NBA,Who was Finals MVP in 2013,LeBron James,Medium,2,Championships
146,NBA,Which player is known as The Mailman,Karl Malone,Easy,1,Nicknames
147,NBA,Who has the most points in a playoff game,Michael Jordan - 63,Hard,3,Records
148,NBA,What is a backcourt violation,Returning ball to backcourt illegally,Medium,2,Rules
149,NBA,Who won the 1995 NBA Finals,Houston Rockets,Easy,1,Championships
150,NBA,Which player famously broke a backboard with a dunk,Darryl Dawkins,Medium,2,Quirky
151,NBA,Who holds the record for most points scored in a rookie season,Wil Chamberlain - 2707,Hard,3,Records
152,NBA,Which team won the 2021 NBA Finals,Milwaukee Bucks,Easy,1,Championships
153,NBA,Who has the most career field goals made,Kareem Abdul Jabbar - 15837,Medium,2,Records
154,NBA,What is the width of an NBA court,50 feet,Medium,2,Rules
155,NBA,Who was the first player to enter the NBA straight from high school,Moses Malone,Hard,3,History
156,NBA,Which player is known as The Admiral,David Robinson,Easy,1,Nicknames
157,NBA,Who has the most career minutes played,Kareem Abdul Jabbar - over 57000,Hard,3,Records
158,NBA,What is a flagrant foul,Excessive or violent contact,Medium,2,Rules
159,NBA,Who won the 2011 NBA Finals,Dallas Mavericks,Easy,1,Championships
160,NBA,Which player is known as The Dream,Hakeem Olajuwon,Easy,1,Nicknames
161,NBA,Who has the most career offensive rebounds,Moses Malone - 7382,Hard,3,Records
162,NBA,What is the diameter of a basketball hoop,18 inches,Easy,1,Rules
163,NBA,Who was the first overall pick in the 1997 NBA Draft,Tim Duncan,Medium,2,History
164,NBA,Which team drafted Kevin Garnett,Minnesota Timberwolves,Medium,2,Players
165,NBA,Who has the most career playoff points,LeBron James - over 8000,Medium,2,Records
166,NBA,What is a charge foul,Offensive foul for running into a defender,Easy,1,Rules
167,NBA,Who won the 2014 NBA Finals,San Antonio Spurs,Easy,1,Championships
168,NBA,Which player is known as The Truth,Paul Pierce,Easy,1,Nicknames
169,NBA,Who has the most career defensive rebounds,Tim Duncan,Hard,3,Records
170,NBA,What is a travel violation,Illegal movement without dribbling,Easy,1,Rules
171,NBA,Who won MVP in 1992,Michael Jordan,Medium,2,Awards
172,NBA,Which team has the most wins in a single season,Golden State Warriors - 73,Easy,1,Records
173,NBA,Who has the most career playoff assists,Magic Johnson,Hard,3,Records
174,NBA,What is a Euro step,Two step move to evade defenders,Easy,1,Quirky
175,NBA,Who won the 2006 NBA Finals,Miami Heat,Easy,1,Championships
176,NBA,Which player is known as The Round Mound of Rebound,Charles Barkley,Easy,1,Nicknames
177,NBA,Who has the most career fouls committed,Karl Malone,Hard,3,Records
178,NBA,What is a shot fake,Pretending to shoot to trick defender,Easy,1,Rules
179,NBA,Who was the youngest player drafted number one overall,LeBron James - 18 years old,Medium,2,Records
180,NBA,Which team relocated from New Jersey to Brooklyn,Brooklyn Nets,Easy,1,History
181,NBA,Who has the most career playoff rebounds,Bill Russell,Hard,3,Records
182,NBA,What is a box out,Positioning to secure rebound,Easy,1,Rules
183,NBA,Who won the 1999 NBA Finals,San Antonio Spurs,Easy,1,Championships
184,NBA,Which player is known as The Klaw,Kawhi Leonard,Easy,1,Nicknames
185,NBA,Who has the most career assists in a single season,John Stockton - 1164,Hard,3,Records
186,NBA,What is a pick and roll,Screen then move to basket play,Easy,1,Rules
187,NBA,Who won MVP in 2017,Russell Westbrook,Medium,2,Awards
188,NBA,Which team drafted Stephen Curry,Golden State Warriors,Easy,1,Players
189,NBA,Who has the most career points in the Finals,LeBron James,Hard,3,Records
190,NBA,What is a turnover,Loss of possession,Easy,1,Rules
191,NBA,Who won the 2004 NBA Finals,Detroit Pistons,Easy,1,Championships
192,NBA,Which player is known as The Diesel,Shaquille O Neal,Easy,1,Nicknames
193,NBA,Who has the most career playoff triple doubles,Magic Johnson,Hard,3,Records
194,NBA,What is an alley oop,Pass caught and dunked mid air,Easy,1,Quirky
195,NBA,Who won MVP in 2022,Nikola Jokic,Medium,2,Awards
196,NBA,Which team has a mascot named Benny the Bull,Chicago Bulls,Easy,1,Quirky
197,NBA,Who has the most career blocks in a single season,Mark Eaton - 456,Hard,3,Records
198,NBA,What is a sixth man,A key bench player,Easy,1,Roles
199,NBA,Who won the 1987 NBA Finals,Los Angeles Lakers,Easy,1,Championships
200,NBA,Which player is known as King James,LeBron James,Easy,1,Nicknames
201,NFL,Who has the most career passing yards,Tom Brady - 89214,Easy,1,Records
202,NFL,Which team has won the most Super Bowls,New England Patriots - 6 tied,Easy,1,Championships
203,NFL,Who is the all time leader in rushing yards,Emmitt Smith - 18355,Easy,1,Records
204,NFL,What team completed the only perfect season,Miami Dolphins - 1972,Easy,1,History
205,NFL,Who has the most career touchdown passes,Tom Brady - 649,Easy,1,Records
206,NFL,Which team won Super Bowl I,Green Bay Packers,Medium,2,Championships
207,NFL,Who is known as The GOAT quarterback,Tom Brady,Easy,1,Nicknames
208,NFL,What is the length of an NFL field including end zones,120 yards,Easy,1,Rules
209,NFL,Who has the most career sacks,Bruce Smith - 200,Medium,2,Records
210,NFL,Which team is known as Americas Team,Dallas Cowboys,Easy,1,Nicknames
211,NFL,Who won the MVP award in 2018,Patrick Mahomes,Medium,2,Awards
212,NFL,What position does a quarterback play,Offense leader passing and directing plays,Easy,1,Rules
213,NFL,Who has the most career interceptions thrown,Brett Favre - 336,Hard,3,Records
214,NFL,Which team relocated from St Louis to Los Angeles,Los Angeles Rams,Easy,1,History
215,NFL,Who has the most career receiving yards,Jerry Rice - 22895,Easy,1,Records
216,NFL,What is a pick six,Interception returned for a touchdown,Easy,1,Rules
217,NFL,Who was the first overall pick in the 1998 NFL Draft,Peyton Manning,Medium,2,History
218,NFL,Which team has a helmet with no logo,Cleveland Browns,Easy,1,Quirky
219,NFL,Who has the most Super Bowl MVP awards,Tom Brady - 5,Medium,2,Records
220,NFL,What is the term for scoring 6 points by carrying the ball into the end zone,Touchdown,Easy,1,Rules
221,NFL,Who kicked the longest field goal in NFL history,Justin Tucker - 66 yards,Easy,1,Records
222,NFL,Which team drafted Aaron Rodgers,Green Bay Packers,Medium,2,Players
223,NFL,What does QB stand for,Quarterback,Easy,1,Stats
224,NFL,Who has the most career punt return touchdowns,Devin Hester - 14,Medium,2,Records
225,NFL,Which team won Super Bowl 50,Denver Broncos,Easy,1,Championships
226,NFL,Who is the all time leader in receptions,Jerry Rice - 1549,Easy,1,Records
227,NFL,What is a safety worth,2 points,Easy,1,Rules
228,NFL,Who was known as Sweetness,Walter Payton,Easy,1,Nicknames
229,NFL,Which team has the most losses in Super Bowl history,New England Patriots - 5 tied,Hard,3,Records
230,NFL,What is the name of the championship game,Super Bowl,Easy,1,Events
231,NFL,Who threw for 7 touchdowns in a single game tying the record,Drew Brees tied record,Hard,3,Records
232,NFL,Which team went 0 and 16 in 2008,Detroit Lions,Medium,2,History
233,NFL,What is the term for a fumbled ball recovered by the defense,Turnover,Easy,1,Rules
234,NFL,Who has the most career playoff wins as a quarterback,Tom Brady - 35,Medium,2,Records
235,NFL,Which player was known as The Refrigerator,William Perry,Easy,1,Nicknames
236,NFL,What is a two point conversion,Play after touchdown worth 2 points,Easy,1,Rules
237,NFL,Who won Offensive Rookie of the Year in 2020,Justin Herbert,Medium,2,Awards
238,NFL,Which team has a pirate logo,Tampa Bay Buccaneers,Easy,1,Teams
239,NFL,Who has the most career rushing touchdowns,Emmitt Smith - 164,Medium,2,Records
240,NFL,What is intentional grounding,Illegal pass to avoid sack with no receiver nearby,Medium,2,Rules
241,NFL,Who was the MVP of Super Bowl XLII,Eli Manning,Medium,2,Championships
242,NFL,Which team drafted Tom Brady,New England Patriots - 6th round,Easy,1,History
243,NFL,What is a hail mary pass,Long desperation pass at end of game,Easy,1,Quirky
244,NFL,Who has the most career tackles,Ray Lewis - 2059,Hard,3,Records
245,NFL,Which team moved from Oakland to Las Vegas,Las Vegas Raiders,Easy,1,History
246,NFL,What is the play clock duration,40 seconds,Easy,1,Rules
247,NFL,Who has the most career receiving touchdowns,Jerry Rice - 197,Easy,1,Records
248,NFL,Which team won Super Bowl LI,New England Patriots,Medium,2,Championships
249,NFL,Who was the first player to rush for 2000 yards in a season,O J Simpson - 2003,Medium,2,Records
250,NFL,What is a blindside block,Illegal block from behind outside vision,Medium,2,Rules
251,NFL,Who holds the record for most career completions,Tom Brady - 7753,Medium,2,Records
252,NFL,Which team won Super Bowl XLV,Green Bay Packers,Easy,1,Championships
253,NFL,Who has the most career all purpose yards,Jerry Rice - 23546,Hard,3,Records
254,NFL,What is the maximum number of players on the field per team,11,Easy,1,Rules
255,NFL,Who was the first quarterback to throw for 5000 yards in a season,Dan Marino - 1984,Medium,2,Records
256,NFL,Which team went undefeated in the regular season but lost the Super Bowl in 2007,New York Giants defeated New England Patriots,Medium,2,History
257,NFL,Who has the most career forced fumbles,Robert Mathis - 54,Hard,3,Records
258,NFL,What is the term for a defensive score off a fumble return,Defensive touchdown,Easy,1,Rules
259,NFL,Who won Super Bowl XXXVI,New England Patriots,Easy,1,Championships
260,NFL,Which player was nicknamed Megatron,Calvin Johnson,Easy,1,Nicknames
261,NFL,Who has the most career field goals made,Adam Vinatieri - 599,Medium,2,Records
262,NFL,What is the distance of an extra point kick,33 yards,Easy,1,Rules
263,NFL,Who was the first overall pick in the 2012 NFL Draft,Andrew Luck,Medium,2,History
264,NFL,Which team has the most playoff appearances,Dallas Cowboys,Hard,3,Records
265,NFL,Who holds the record for most sacks in a single season,Michael Strahan - 22.5,Medium,2,Records
266,NFL,What is a fair catch,Player catches kick without advancing and cannot be hit,Easy,1,Rules
267,NFL,Who won the 2021 NFL MVP,Aaron Rodgers,Easy,1,Awards
268,NFL,Which team is known for the Terrible Towel,Pittsburgh Steelers,Easy,1,Quirky
269,NFL,Who has the most career rushing attempts,Emmitt Smith - 4409,Hard,3,Records
270,NFL,What is a lateral pass,Backward pass that can be caught by any player,Medium,2,Rules
271,NFL,Who was the MVP of Super Bowl LIV,Patrick Mahomes,Easy,1,Championships
272,NFL,Which team drafted Lamar Jackson,Baltimore Ravens,Medium,2,Players
273,NFL,Who has the most career interceptions as a defender,Paul Krause - 81,Medium,2,Records
274,NFL,What is the term for kicking the ball after a safety,Free kick,Medium,2,Rules
275,NFL,Who won Super Bowl XX,VChicago Bears,Easy,1,Championships
276,NFL,Which player was nicknamed Beast Mode,Marshawn Lynch,Easy,1,Nicknames
277,NFL,Who has the most career passing touchdowns in a single season,Peyton Manning - 55,Medium,2,Records
278,NFL,What is a touchback,Ball placed at the 25 yard line after certain plays,Easy,1,Rules
279,NFL,Who was the first defensive player to win Super Bowl MVP,Chuck Howley,Hard,3,History
280,NFL,Which team has the most consecutive playoff appearances,New England Patriots - 11,Hard,3,Records
281,NFL,Who has the most career kickoff return touchdowns,Josh Cribbs - 8 tied,Hard,3,Records
282,NFL,What is the term for a fake handoff play,Play action,Easy,1,Rules
283,NFL,Who won the 2007 NFL MVP,Tom Brady,Medium,2,Awards
284,NFL,Which team moved from San Diego to Los Angeles,Los Angeles Chargers,Easy,1,History
285,NFL,Who has the most career passing attempts,Brett Favre - 10169,Hard,3,Records
286,NFL,What is the penalty for offsides,5 yards,Easy,1,Rules
287,NFL,Who was the MVP of Super Bowl XLIII,Santonio Holmes,Medium,2,Championships
288,NFL,Which team is known as the Cheeseheads,Green Bay Packers,Easy,1,Nicknames
289,NFL,Who has the most career sacks in playoff history,Willie McGinest - 16,Hard,3,Records
290,NFL,What is a strip sack,Sack that forces a fumble,Easy,1,Quirky
291,NFL,Who won the 2015 NFL MVP,Cam Newton,Medium,2,Awards
292,NFL,Which player returned a missed field goal 109 yards for a touchdown,Chris Davis,Medium,2,Quirky
293,NFL,Who has the most career wins as a head coach,Don Shula - 347,Medium,2,Records
294,NFL,What is the neutral zone,Area between offensive and defensive lines before snap,Medium,2,Rules
295,NFL,Who was the first player to score 200 touchdowns,Jerry Rice,Hard,3,Records
296,NFL,Which team has never appeared in a Super Bowl,Cleveland Browns,Easy,1,History
297,NFL,Who has the most career receptions in a single season,Michael Thomas - 149,Medium,2,Records
298,NFL,What is icing the kicker,Calling timeout before a field goal attempt,Easy,1,Quirky
299,NFL,Who won Super Bowl XLIX,New England Patriots,Easy,1,Championships
300,NFL,Which player was known as Prime Time,Deion Sanders,Easy,1,Nicknames
301,NHL,Who holds the record for most career goals,Wayne Gretzky - 894,Easy,1,Records
302,NHL,Which team has won the most Stanley Cups,Montreal Canadiens - 24,Easy,1,Championships
303,NHL,Who is known as The Great One,Wayne Gretzky,Easy,1,Nicknames
304,NHL,What trophy is awarded to the NHL champion,Stanley Cup,Easy,1,Awards
305,NHL,Who has the most career assists,Wayne Gretzky - 1963,Easy,1,Records
306,NHL,What year was the NHL founded,1917,Medium,2,History
307,NHL,Which team plays at Madison Square Garden,New York Rangers,Easy,1,Teams
308,NHL,Who has the most career points,Wayne Gretzky - 2857,Easy,1,Records
309,NHL,What is a hat trick,Three goals in one game,Easy,1,Rules
310,NHL,Who won the 2020 Stanley Cup,Tampa Bay Lightning,Easy,1,Championships
311,NHL,Which player is known as Super Mario,Mario Lemieux,Easy,1,Nicknames
312,NHL,How many periods are in a regulation NHL game,3,Easy,1,Rules
313,NHL,Who has the most career wins as a goalie,Martin Brodeur - 691,Medium,2,Records
314,NHL,Which team ended a 108 year championship drought similar to Cubs,Chicago Blackhawks 2010 ended long drought,Hard,3,History
315,NHL,Who won the 2019 Stanley Cup,St Louis Blues,Easy,1,Championships
316,NHL,What is icing in hockey,Shooting puck across two lines without touch,Medium,2,Rules
317,NHL,Who has the most career shutouts,Martin Brodeur - 125,Medium,2,Records
318,NHL,Which teams are known as the Original Six,Boston Bruins Chicago Blackhawks Detroit Red Wings Montreal Canadiens New York Rangers Toronto Maple Leafs,Medium,2,History
319,NHL,Who has the most goals in a single season,Wayne Gretzky - 92,Medium,2,Records
320,NHL,What is a power play,Man advantage due to penalty,Easy,1,Rules
321,NHL,Who won the 2016 Stanley Cup,Pittsburgh Penguins,Easy,1,Championships
322,NHL,Which player is known as The Golden Jet,Bobby Hull,Easy,1,Nicknames
323,NHL,Who has the most penalty minutes,Tiger Williams - 3966,Hard,3,Records
324,NHL,What is offsides in hockey,Entering zone before puck,Easy,1,Rules
325,NHL,Who has the most career playoff goals,Wayne Gretzky - 122,Medium,2,Records
326,NHL,Which team has a mascot named Gritty,Philadelphia Flyers,Easy,1,Quirky
327,NHL,Who won the 2008 Stanley Cup,Detroit Red Wings,Easy,1,Championships
328,NHL,What is a slap shot,Powerful full swing shot,Easy,1,Rules
329,NHL,Who has the most career points by a defenseman,Ray Bourque - 1579,Hard,3,Records
330,NHL,Which team relocated from Quebec to Colorado,Colorado Avalanche,Medium,2,History
331,NHL,Who won the Hart Trophy in 2015,Carey Price,Hard,3,Awards
332,NHL,What is a shootout,One on one attempts to break tie,Easy,1,Rules
333,NHL,Who has the most career playoff points,Wayne Gretzky - 382,Medium,2,Records
334,NHL,Which player is known as Sid the Kid,Sidney Crosby,Easy,1,Nicknames
335,NHL,Who won the 2013 Stanley Cup,Chicago Blackhawks,Easy,1,Championships
336,NHL,What is a penalty kill,Defending while shorthanded,Easy,1,Rules
337,NHL,Who has the most career games played,Patrick Marleau - 1779,Medium,2,Records
338,NHL,Which team moved from Atlanta to Winnipeg,Winnipeg Jets,Medium,2,History
339,NHL,Who has the most career goals by a defenseman,Ray Bourque,Hard,3,Records
340,NHL,What is a blue line,Line dividing zones,Easy,1,Rules
341,NHL,Who won the 2001 Stanley Cup,Colorado Avalanche,Easy,1,Championships
342,NHL,Which player is known as The Dominator,Dominik Hasek,Easy,1,Nicknames
343,NHL,Who has the most career wins in a single season goalie,Martin Brodeur - 48 tied,Hard,3,Records
344,NHL,What is a wrist shot,Quick snap shot using wrists,Easy,1,Rules
345,NHL,Who won the 1994 Stanley Cup,New York Rangers,Easy,1,Championships
346,NHL,Which team has the longest Stanley Cup drought,Toronto Maple Leafs since 1967,Medium,2,History
347,NHL,Who has the most career assists by a defenseman,Ray Bourque,Hard,3,Records
348,NHL,What is a faceoff,Method to start play,Easy,1,Rules
349,NHL,Who won the 2021 Stanley Cup,Tampa Bay Lightning,Easy,1,Championships
350,NHL,Which player broke Gretzkys single season points record,No one Wayne Gretzky still holds it,Medium,2,Quirky
