Sport,Question,Answer,Difficulty,Points,CategoryTag
NBA,Who won the 1995 NBA Finals,Houston Rockets,Easy,1,Championships
NBA,Which player famously broke a backboard with a dunk,Darryl Dawkins,Medium,2,Quirky
NBA,Who holds the record for most points scored in a rookie season,Wil Chamberlain - 2707,Hard,3,Records
NBA,Which team won the 2021 NBA Finals,Milwaukee Bucks,Easy,1,Championships
NBA,Who has the most career field goals made,Kareem Abdul Jabbar - 15837,Medium,2,Records
NBA,What is the width of an NBA court,50 feet,Medium,2,Rules
NBA,Who was the first player to enter the NBA straight from high school,Moses Malone,Hard,3,History
NBA,Which player is known as The Admiral,David Robinson,Easy,1,Nicknames
NBA,Who has the most career minutes played,Kareem Abdul Jabbar - over 57000,Hard,3,Records
NBA,What is a flagrant foul,Excessive or violent contact,Medium,2,Rules
NBA,Who won the 2011 NBA Finals,Dallas Mavericks,Easy,1,Championships
NBA,Which player is known as The Dream,Hakeem Olajuwon,Easy,1,Nicknames
NBA,Who has the most career offensive rebounds,Moses Malone - 7382,Hard,3,Records
NBA,What is the diameter of a basketball hoop,18 inches,Easy,1,Rules
NBA,Who was the first overall pick in the 1997 NBA Draft,Tim Duncan,Medium,2,History
NBA,Which team drafted Kevin Garnett,Minnesota Timberwolves,Medium,2,Players
NBA,Who has the most career playoff points,LeBron James - over 8000,Medium,2,Records
NBA,What is a charge foul,Offensive foul for running into a defender,Easy,1,Rules
NBA,Who won the 2014 NBA Finals,San Antonio Spurs,Easy,1,Championships
NBA,Which player is known as The Truth,Paul Pierce,Easy,1,Nicknames
NBA,Who has the most career defensive rebounds,Tim Duncan,Hard,3,Records
NBA,What is a travel violation,Illegal movement without dribbling,Easy,1,Rules
NBA,Who won MVP in 1992,Michael Jordan,Medium,2,Awards
NBA,Which team has the most wins in a single season,Golden State Warriors - 73,Easy,1,Records
NBA,Who has the most career playoff assists,Magic Johnson,Hard,3,Records
NBA,What is a Euro step,Two step move to evade defenders,Easy,1,Quirky
NBA,Who won the 2006 NBA Finals,Miami Heat,Easy,1,Championships
NBA,Which player is known as The Round Mound of Rebound,Charles Barkley,Easy,1,Nicknames
NBA,Who has the most career fouls committed,Karl Malone,Hard,3,Records
NBA,What is a shot fake,Pretending to shoot to trick defender,Easy,1,Rules
NBA,Who was the youngest player drafted number one overall,LeBron James - 18 years old,Medium,2,Records
NBA,Which team relocated from New Jersey to Brooklyn,Brooklyn Nets,Easy,1,History
NBA,Who has the most career playoff rebounds,Bill Russell,Hard,3,Records
NBA,What is a box out,Positioning to secure rebound,Easy,1,Rules
NBA,Who won the 1999 NBA Finals,San Antonio Spurs,Easy,1,Championships
NBA,Which player is known as The Klaw,Kawhi Leonard,Easy,1,Nicknames
NBA,Who has the most career assists in a single season,John Stockton - 1164,Hard,3,Records
NBA,What is a pick and roll,Screen then move to basket play,Easy,1,Rules
NBA,Who won MVP in 2017,Russell Westbrook,Medium,2,Awards
NBA,Which team drafted Stephen Curry,Golden State Warriors,Easy,1,Players
NBA,Who has the most career points in the Finals,LeBron James,Hard,3,Records
NBA,What is a turnover,Loss of possession,Easy,1,Rules
NBA,Who won the 2004 NBA Finals,Detroit Pistons,Easy,1,Championships
NBA,Which player is known as The Diesel,Shaquille O Neal,Easy,1,Nicknames
NBA,Who has the most career playoff triple doubles,Magic Johnson,Hard,3,Records
NBA,What is an alley oop,Pass caught and dunked mid air,Easy,1,Quirky
NBA,Who won MVP in 2022,Nikola Jokic,Medium,2,Awards
NBA,Which team has a mascot named Benny the Bull,Chicago Bulls,Easy,1,Quirky
NBA,Who has the most career blocks in a single season,Mark Eaton - 456,Hard,3,Records
NBA,What is a sixth man,A key bench player,Easy,1,Roles
NBA,Who won the 1987 NBA Finals,Los Angeles Lakers,Easy,1,Championships
NBA,Which player is known as King James,LeBron James,Easy,1,Nicknames
NFL,Who has the most career passing yards,Tom Brady - 89214,Easy,1,Records
NFL,Which team has won the most Super Bowls,New England Patriots - 6 tied,Easy,1,Championships
NFL,Who is the all time leader in rushing yards,Emmitt Smith - 18355,Easy,1,Records
NFL,What team completed the only perfect season,Miami Dolphins - 1972,Easy,1,History
NFL,Who has the most career touchdown passes,Tom Brady - 649,Easy,1,Records
NFL,Which team won Super Bowl I,Green Bay Packers,Medium,2,Championships
NFL,Who is known as The GOAT quarterback,Tom Brady,Easy,1,Nicknames
NFL,What is the length of an NFL field including end zones,120 yards,Easy,1,Rules
NFL,Who has the most career sacks,Bruce Smith - 200,Medium,2,Records
NFL,Which team is known as Americas Team,Dallas Cowboys,Easy,1,Nicknames
NFL,Who won the MVP award in 2018,Patrick Mahomes,Medium,2,Awards
NFL,What position does a quarterback play,Offense leader passing and directing plays,Easy,1,Rules
NFL,Who has the most career interceptions thrown,Brett Favre - 336,Hard,3,Records
NFL,Which team relocated from St Louis to Los Angeles,Los Angeles Rams,Easy,1,History
NFL,Who has the most career receiving yards,Jerry Rice - 22895,Easy,1,Records
NFL,What is a pick six,Interception returned for a touchdown,Easy,1,Rules
NFL,Who was the first overall pick in the 1998 NFL Draft,Peyton Manning,Medium,2,History
NFL,Which team has a helmet with no logo,Cleveland Browns,Easy,1,Quirky
NFL,Who has the most Super Bowl MVP awards,Tom Brady - 5,Medium,2,Records
NFL,What is the term for scoring 6 points by carrying the ball into the end zone,Touchdown,Easy,1,Rules
NFL,Who kicked the longest field goal in NFL history,Justin Tucker - 66 yards,Easy,1,Records
NFL,Which team drafted Aaron Rodgers,Green Bay Packers,Medium,2,Players
NFL,What does QB stand for,Quarterback,Easy,1,Stats
NFL,Who has the most career punt return touchdowns,Devin Hester - 14,Medium,2,Records
NFL,Which team won Super Bowl 50,Denver Broncos,Easy,1,Championships
NFL,Who is the all time leader in receptions,Jerry Rice - 1549,Easy,1,Records
NFL,What is a safety worth,2 points,Easy,1,Rules
NFL,Who was known as Sweetness,Walter Payton,Easy,1,Nicknames
NFL,Which team has the most losses in Super Bowl history,New England Patriots - 5 tied,Hard,3,Records
NFL,What is the name of the championship game,Super Bowl,Easy,1,Events
NFL,Who threw for 7 touchdowns in a single game tying the record,Drew Brees tied record,Hard,3,Records
NFL,Which team went 0 and 16 in 2008,Detroit Lions,Medium,2,History
NFL,What is the term for a fumbled ball recovered by the defense,Turnover,Easy,1,Rules
NFL,Who has the most career playoff wins as a quarterback,Tom Brady - 35,Medium,2,Records
NFL,Which player was known as The Refrigerator,William Perry,Easy,1,Nicknames
NFL,What is a two point conversion,Play after touchdown worth 2 points,Easy,1,Rules
NFL,Who won Offensive Rookie of the Year in 2020,Justin Herbert,Medium,2,Awards
NFL,Which team has a pirate logo,Tampa Bay Buccaneers,Easy,1,Teams
NFL,Who has the most career rushing touchdowns,Emmitt Smith - 164,Medium,2,Records
NFL,What is intentional grounding,Illegal pass to avoid sack with no receiver nearby,Medium,2,Rules
NFL,Who was the MVP of Super Bowl XLII,Eli Manning,Medium,2,Championships
NFL,Which team drafted Tom Brady,New England Patriots - 6th round,Easy,1,History
NFL,What is a hail mary pass,Long desperation pass at end of game,Easy,1,Quirky
NFL,Who has the most career tackles,Ray Lewis - 2059,Hard,3,Records
NFL,Which team moved from Oakland to Las Vegas,Las Vegas Raiders,Easy,1,History
NFL,What is the play clock duration,40 seconds,Easy,1,Rules
NFL,Who has the most career receiving touchdowns,Jerry Rice - 197,Easy,1,Records
NFL,Which team won Super Bowl LI,New England Patriots,Medium,2,Championships
NFL,Who was the first player to rush for 2000 yards in a season,O J Simpson - 2003,Medium,2,Records
NFL,What is a blindside block,Illegal block from behind outside vision,Medium,2,Rules
NFL,Who holds the record for most career completions,Tom Brady - 7753,Medium,2,Records
NFL,Which team won Super Bowl XLV,Green Bay Packers,Easy,1,Championships
NFL,Who has the most career all purpose yards,Jerry Rice - 23546,Hard,3,Records
NFL,What is the maximum number of players on the field per team,11,Easy,1,Rules
NFL,Who was the first quarterback to throw for 5000 yards in a season,Dan Marino - 1984,Medium,2,Records
NFL,Which team went undefeated in the regular season but lost the Super Bowl in 2007,New York Giants defeated New England Patriots,Medium,2,History
NFL,Who has the most career forced fumbles,Robert Mathis - 54,Hard,3,Records
NFL,What is the term for a defensive score off a fumble return,Defensive touchdown,Easy,1,Rules
NFL,Who won Super Bowl XXXVI,New England Patriots,Easy,1,Championships
NFL,Which player was nicknamed Megatron,Calvin Johnson,Easy,1,Nicknames
NFL,Who has the most career field goals made,Adam Vinatieri - 599,Medium,2,Records
NFL,What is the distance of an extra point kick,33 yards,Easy,1,Rules
NFL,Who was the first overall pick in the 2012 NFL Draft,Andrew Luck,Medium,2,History
NFL,Which team has the most playoff appearances,Dallas Cowboys,Hard,3,Records
NFL,Who holds the record for most sacks in a single season,Michael Strahan - 22.5,Medium,2,Records
NFL,What is a fair catch,Player catches kick without advancing and cannot be hit,Easy,1,Rules
NFL,Who won the 2021 NFL MVP,Aaron Rodgers,Easy,1,Awards
NFL,Which team is known for the Terrible Towel,Pittsburgh Steelers,Easy,1,Quirky
NFL,Who has the most career rushing attempts,Emmitt Smith - 4409,Hard,3,Records
NFL,What is a lateral pass,Backward pass that can be caught by any player,Medium,2,Rules
NFL,Who was the MVP of Super Bowl LIV,Patrick Mahomes,Easy,1,Championships
NFL,Which team drafted Lamar Jackson,Baltimore Ravens,Medium,2,Players
NFL,Who has the most career interceptions as a defender,Paul Krause - 81,Medium,2,Records
NFL,What is the term for kicking the ball after a safety,Free kick,Medium,2,Rules
NFL,Who won Super Bowl XX,VChicago Bears,Easy,1,Championships
NFL,Which player was nicknamed Beast Mode,Marshawn Lynch,Easy,1,Nicknames
NFL,Who has the most career passing touchdowns in a single season,Peyton Manning - 55,Medium,2,Records
NFL,What is a touchback,Ball placed at the 25 yard line after certain plays,Easy,1,Rules
NFL,Who was the first defensive player to win Super Bowl MVP,Chuck Howley,Hard,3,History
NFL,Which team has the most consecutive playoff appearances,New England Patriots - 11,Hard,3,Records
NFL,Who has the most career kickoff return touchdowns,Josh Cribbs - 8 tied,Hard,3,Records
NFL,What is the term for a fake handoff play,Play action,Easy,1,Rules
NFL,Who won the 2007 NFL MVP,Tom Brady,Medium,2,Awards
NFL,Which team moved from San Diego to Los Angeles,Los Angeles Chargers,Easy,1,History
NFL,Who has the most career passing attempts,Brett Favre - 10169,Hard,3,Records
NFL,What is the penalty for offsides,5 yards,Easy,1,Rules
NFL,Who was the MVP of Super Bowl XLIII,Santonio Holmes,Medium,2,Championships
NFL,Which team is known as the Cheeseheads,Green Bay Packers,Easy,1,Nicknames
NFL,Who has the most career sacks in playoff history,Willie McGinest - 16,Hard,3,Records
NFL,What is a strip sack,Sack that forces a fumble,Easy,1,Quirky
NFL,Who won the 2015 NFL MVP,Cam Newton,Medium,2,Awards
NFL,Which player returned a missed field goal 109 yards for a touchdown,Chris Davis,Medium,2,Quirky
NFL,Who has the most career wins as a head coach,Don Shula - 347,Medium,2,Records
NFL,What is the neutral zone,Area between offensive and defensive lines before snap,Medium,2,Rules
NFL,Who was the first player to score 200 touchdowns,Jerry Rice,Hard,3,Records
NFL,Which team has never appeared in a Super Bowl,Cleveland Browns,Easy,1,History
NFL,Who has the most career receptions in a single season,Michael Thomas - 149,Medium,2,Records
NFL,What is icing the kicker,Calling timeout before a field goal attempt,Easy,1,Quirky
NFL,Who won Super Bowl XLIX,New England Patriots,Easy,1,Championships
NFL,Which player was known as Prime Time,Deion Sanders,Easy,1,Nicknames
NHL,Who holds the record for most career goals,Wayne Gretzky - 894,Easy,1,Records
NHL,Which team has won the most Stanley Cups,Montreal Canadiens - 24,Easy,1,Championships
NHL,Who is known as The Great One,Wayne Gretzky,Easy,1,Nicknames
NHL,What trophy is awarded to the NHL champion,Stanley Cup,Easy,1,Awards
NHL,Who has the most career assists,Wayne Gretzky - 1963,Easy,1,Records
NHL,What year was the NHL founded,1917,Medium,2,History
NHL,Which team plays at Madison Square Garden,New York Rangers,Easy,1,Teams
NHL,Who has the most career points,Wayne Gretzky - 2857,Easy,1,Records
NHL,What is a hat trick,Three goals in one game,Easy,1,Rules
NHL,Who won the 2020 Stanley Cup,Tampa Bay Lightning,Easy,1,Championships
NHL,Which player is known as Super Mario,Mario Lemieux,Easy,1,Nicknames
NHL,How many periods are in a regulation NHL game,3,Easy,1,Rules
NHL,Who has the most career wins as a goalie,Martin Brodeur - 691,Medium,2,Records
NHL,Which team ended a 108 year championship drought similar to Cubs,Chicago Blackhawks 2010 ended long drought,Hard,3,History
NHL,Who won the 2019 Stanley Cup,St Louis Blues,Easy,1,Championships
NHL,What is icing in hockey,Shooting puck across two lines without touch,Medium,2,Rules
NHL,Who has the most career shutouts,Martin Brodeur - 125,Medium,2,Records
NHL,Which teams are known as the Original Six,Boston Bruins Chicago Blackhawks Detroit Red Wings Montreal Canadiens New York Rangers Toronto Maple Leafs,Medium,2,History
NHL,Who has the most goals in a single season,Wayne Gretzky - 92,Medium,2,Records
NHL,What is a power play,Man advantage due to penalty,Easy,1,Rules
NHL,Who won the 2016 Stanley Cup,Pittsburgh Penguins,Easy,1,Championships
NHL,Which player is known as The Golden Jet,Bobby Hull,Easy,1,Nicknames
NHL,Who has the most penalty minutes,Tiger Williams - 3966,Hard,3,Records
NHL,What is offsides in hockey,Entering zone before puck,Easy,1,Rules
NHL,Who has the most career playoff goals,Wayne Gretzky - 122,Medium,2,Records
NHL,Which team has a mascot named Gritty,Philadelphia Flyers,Easy,1,Quirky
NHL,Who won the 2008 Stanley Cup,Detroit Red Wings,Easy,1,Championships
NHL,What is a slap shot,Powerful full swing shot,Easy,1,Rules
NHL,Who has the most career points by a defenseman,Ray Bourque - 1579,Hard,3,Records
NHL,Which team relocated from Quebec to Colorado,Colorado Avalanche,Medium,2,History
NHL,Who won the Hart Trophy in 2015,Carey Price,Hard,3,Awards
NHL,What is a shootout,One on one attempts to break tie,Easy,1,Rules
NHL,Who has the most career playoff points,Wayne Gretzky - 382,Medium,2,Records
NHL,Which player is known as Sid the Kid,Sidney Crosby,Easy,1,Nicknames
NHL,Who won the 2013 Stanley Cup,Chicago Blackhawks,Easy,1,Championships
NHL,What is a penalty kill,Defending while shorthanded,Easy,1,Rules
NHL,Who has the most career games played,Patrick Marleau - 1779,Medium,2,Records
NHL,Which team moved from Atlanta to Winnipeg,Winnipeg Jets,Medium,2,History
NHL,Who has the most career goals by a defenseman,Ray Bourque,Hard,3,Records
NHL,What is a blue line,Line dividing zones,Easy,1,Rules
NHL,Who won the 2001 Stanley Cup,Colorado Avalanche,Easy,1,Championships
NHL,Which player is known as The Dominator,Dominik Hasek,Easy,1,Nicknames
NHL,Who has the most career wins in a single season goalie,Martin Brodeur - 48 tied,Hard,3,Records
NHL,What is a wrist shot,Quick snap shot using wrists,Easy,1,Rules
NHL,Who won the 1994 Stanley Cup,New York Rangers,Easy,1,Championships
NHL,Which team has the longest Stanley Cup drought,Toronto Maple Leafs since 1967,Medium,2,History
NHL,Who has the most career assists by a defenseman,Ray Bourque,Hard,3,Records
NHL,What is a faceoff,Method to start play,Easy,1,Rules
NHL,Who won the 2021 Stanley Cup,Tampa Bay Lightning,Easy,1,Championships
NHL,Which player broke Gretzkys single season points record,No one Wayne Gretzky still holds it,Medium,2,Quirky
NHL,Who holds the record for most career games by a goalie,Martin Brodeur - 1266,Hard,3,Records
NHL,Which team won the 2022 Stanley Cup,Colorado Avalanche,Easy,1,Championships
NHL,Who has the most career goals by a rookie,Teemu Selanne - 76,Medium,2,Records
NHL,What is the size of an NHL roster during a game,18 skaters plus 2 goalies,Medium,2,Rules
NHL,Who was the first European trained player to be a major NHL star,Borje Salming,Hard,3,History
NHL,Which player is known as Ovi,Alexander Ovechkin,Easy,1,Nicknames
NHL,Who has the most career overtime goals,Jaromir Jagr,Hard,3,Records
NHL,What is a delayed penalty,Penalty enforced after possession change,Medium,2,Rules
NHL,Who won the 2018 Stanley Cup,Washington Capitals,Easy,1,Championships
NHL,Which goalie has the best career goals against average,Dominik Hasek,Hard,3,Records
NHL,Who has the most career hat tricks,Wayne Gretzky - 50,Medium,2,Records
NHL,What is the crease,Area in front of goal for goalie protection,Easy,1,Rules
NHL,Who was the first player to score 50 goals in 50 games,Maurice Richard,Medium,2,History
NHL,Which team drafted Sidney Crosby,Pittsburgh Penguins,Easy,1,Players
NHL,Who has the most career playoff shutouts,Martin Brodeur,Hard,3,Records
NHL,What is a five hole goal,Shot between goalies legs,Easy,1,Quirky
NHL,Who won the 2006 Stanley Cup,Carolina Hurricanes,Easy,1,Championships
NHL,Which player is known as The Finnish Flash,Teemu Selanne,Easy,1,Nicknames
