id,sport,question,correct_answer,choice_a,choice_b,choice_c,choice_d,difficulty,points,category_tag
99,MLB,What is the term for a pitcher who throws sidearm,Submarine pitcher,Jose Bautista,Golden Sombrero,Batting average around 200,Submarine pitcher,Medium,2,Quirky
100,MLB,Who caught the final out of the 2016 World Series,Michael Martinez,Ron Blomberg,Brooklyn Dodgers,Jackie Robinson,Michael Martinez,Hard,3,History
101,NBA,Who is the all time leading scorer in NBA history,LeBron James - over 39000 points,LeBron James - over 39000 points,John Stockton - 3265,Tim Duncan,Bill Russell,Easy,1,Records
102,NBA,Which team has won the most NBA championships,Boston Celtics - 17 tied,Michael Jordan,Boston Celtics - 17 tied,Toronto Raptors,Houston Rockets,Easy,1,Championships
103,NBA,Who is known as His Airness,Michael Jordan,Paul Pierce,Karl Malone,Michael Jordan,Tim Duncan,Easy,1,Nicknames
104,NBA,What year was the NBA founded,1946,1946,1919,1940,1950,Medium,2,History
105,NBA,Who has the most career assists,John Stockton - 15806,John Stockton - 1164,Karl Malone,Michael Jordan - 63,John Stockton - 15806,Easy,1,Records
106,NBA,Which team drafted Kobe Bryant,Charlotte Hornets traded to Los Angeles Lakers,Milwaukee Bucks traded to Dallas Mavericks,Seattle SuperSonics,Charlotte Hornets traded to Los Angeles Lakers,Tim Duncan,Medium,2,History
107,NBA,Who has the most career rebounds,Wil Chamberlain - 23924,Stephen Curry - 2016,Tim Duncan,Kareem Abdul Jabbar - over 57000,Wil Chamberlain - 23924,Medium,2,Records
108,NBA,What is a triple double,Double digits in three statistical categories,Positioning to secure rebound,23.75 feet average,Excessive or violent contact,Double digits in three statistical categories,Easy,1,Rules
109,NBA,Who won the 2016 NBA Finals,Cleveland Cavaliers,Cleveland Cavaliers,Los Angeles Lakers,Boston Celtics - 17 tied,San Antonio Spurs,Easy,1,Championships
110,NBA,Which player scored 100 points in a single game,Wil Chamberlain - 100,Wil Chamberlain - 100,Wil Chamberlain - 2707,Michael Jordan - 30.1,John Stockton - 15806,Easy,1,Records
111,NBA,Who has the most MVP awards,Kareem Abdul Jabbar - 6,Luka Doncic,Shaquille O Neal,Kareem Abdul Jabbar - 6,Russell Westbrook,Easy,1,Awards
112,NBA,What team is known as the Showtime Lakers,Los Angeles Lakers,Shaquille O Neal,Los Angeles Lakers,Michael Jordan,Karl Malone,Easy,1,Nicknames
113,NBA,Who was the first overall pick in the 2003 NBA Draft,LeBron James,Tim Duncan,Charlotte Hornets traded to Los Angeles Lakers,LeBron James,Mugsy Boges,Easy,1,History
114,NBA,Which player is known as The Greek Freak,Giannis Antetokounmpo,Giannis Antetokounmpo,Kawhi Leonard,James Harden,Allen Iverson,Easy,1,Nicknames
115,NBA,Who has the most career steals,John Stockton - 3265,Wil Chamberlain - 100,LeBron James,John Stockton - 3265,John Stockton - 15806,Medium,2,Records
116,NBA,What is the length of an NBA game,48 minutes,48 minutes,Illegal movement without dribbling,Failure to shoot within 24 seconds,Illegal second dribble after stopping,Easy,1,Rules
117,NBA,Who won the 2020 NBA Finals,Los Angeles Lakers,Los Angeles Lakers,Boston Celtics - 17 tied,Boston Celtics,Detroit Pistons,Easy,1,Championships
118,NBA,Which player is known as The Answer,Allen Iverson,Giannis Antetokounmpo,Allen Iverson,Kawhi Leonard,Shaquille O Neal,Easy,1,Nicknames
119,NBA,Who holds the record for most three pointers made,Stephen Curry,Stephen Curry,Wil Chamberlain - 100,LeBron James,John Stockton - 15806,Easy,1,Records
120,NBA,What is a slam dunk,Forceful downward score into basket,Forceful downward score into basket,Offensive foul for running into a defender,Positioning to secure rebound,Screen then move to basket play,Easy,1,Rules
121,NBA,Who was the Finals MVP in 1998,Michael Jordan,LeBron James,Milwaukee Bucks,Boston Celtics,Michael Jordan,Medium,2,Championships
122,NBA,Which team relocated from Seattle to become the Oklahoma City Thunder,Seattle SuperSonics,Milwaukee Bucks traded to Dallas Mavericks,Moses Malone,Brooklyn Nets,Seattle SuperSonics,Medium,2,History
123,NBA,Who has the highest career points per game average,Michael Jordan - 30.1,Hakeem Olajuwon - 3830,Michael Jordan - 30.1,LeBron James,LeBron James - over 39000 points,Medium,2,Records
124,NBA,What is a technical foul,Violation of sportsmanship rules,Offensive foul for running into a defender,Illegal movement without dribbling,Excessive or violent contact,Violation of sportsmanship rules,Medium,2,Rules
125,NBA,Who won Rookie of the Year in 2019,Luka Doncic,Michael Jordan,Nikola Jokic,Russell Westbrook,Luka Doncic,Medium,2,Awards
126,NBA,Which player was known as Big Fundamental,Tim Duncan,Allen Iverson,Kawhi Leonard,Los Angeles Lakers,Tim Duncan,Easy,1,Nicknames
127,NBA,Who has the most career blocks,Hakeem Olajuwon - 3830,LeBron James - over 39000 points,Michael Jordan - 30.1,Magic Johnson,Hakeem Olajuwon - 3830,Hard,3,Records
128,NBA,What is the three point line distance,23.75 feet average,Double digits in three statistical categories,50 feet,Screen then move to basket play,23.75 feet average,Medium,2,Rules
129,NBA,Who won the 2019 NBA Finals,Toronto Raptors,Toronto Raptors,Houston Rockets,San Antonio Spurs,Milwaukee Bucks,Easy,1,Championships
130,NBA,Which player is known as KD,Kevin Durant,Giannis Antetokounmpo,Charles Barkley,Hakeem Olajuwon,Kevin Durant,Easy,1,Nicknames
131,NBA,Who has the most triple doubles,Russell Westbrook,Stephen Curry - 2016,John Stockton - 3265,Russell Westbrook,Wil Chamberlain - 100,Medium,2,Records
132,NBA,What is a shot clock violation,Failure to shoot within 24 seconds,Illegal interference with ball on way down,Failure to shoot within 24 seconds,Illegal movement without dribbling,Positioning to secure rebound,Easy,1,Rules
133,NBA,Who was the first player to win MVP unanimously,Stephen Curry - 2016,Hakeem Olajuwon - 3830,John Stockton - 3265,Golden State Warriors - 73,Stephen Curry - 2016,Medium,2,Records
134,NBA,Which team has a dinosaur mascot,Toronto Raptors,Two step move to evade defenders,Darryl Dawkins,Toronto Raptors,Pass caught and dunked mid air,Easy,1,Quirky
135,NBA,Who has the most career turnovers,LeBron James,LeBron James,Hakeem Olajuwon - 3830,John Stockton - 3265,Karl Malone,Hard,3,Records
136,NBA,What is goaltending,Illegal interference with ball on way down,Offensive foul for running into a defender,Illegal interference with ball on way down,18 inches,48 minutes,Medium,2,Rules
137,NBA,Who won the 2008 NBA Finals,Boston Celtics,Boston Celtics,Milwaukee Bucks,Los Angeles Lakers,Michael Jordan,Easy,1,Championships
138,NBA,Which player is known as The Beard,James Harden,James Harden,Hakeem Olajuwon,Shaquille O Neal,Giannis Antetokounmpo,Easy,1,Nicknames
139,NBA,Who has the most career games played,Robert Parish - 1611,Robert Parish - 1611,LeBron James - over 39000 points,John Stockton - 15806,Russell Westbrook,Hard,3,Records
140,NBA,What is a fast break,Quick transition scoring opportunity,Quick transition scoring opportunity,Returning ball to backcourt illegally,Illegal movement without dribbling,Double digits in three statistical categories,Easy,1,Rules
141,NBA,Who won MVP in 2000,Shaquille O Neal,Luka Doncic,Russell Westbrook,Kareem Abdul Jabbar - 6,Shaquille O Neal,Medium,2,Awards
142,NBA,Which team drafted Dirk Nowitzki,Milwaukee Bucks traded to Dallas Mavericks,Milwaukee Bucks traded to Dallas Mavericks,Charlotte Hornets traded to Los Angeles Lakers,Seattle SuperSonics,Tim Duncan,Hard,3,History
143,NBA,Who has the most career free throws made,Karl Malone - 9787,Karl Malone - 9787,Michael Jordan - 63,Hakeem Olajuwon - 3830,Tim Duncan,Medium,2,Records
144,NBA,What is a double dribble,Illegal second dribble after stopping,23.75 feet average,Violation of sportsmanship rules,Illegal second dribble after stopping,Quick transition scoring opportunity,Easy,1,Rules
145,NBA,Who was Finals MVP in 2013,LeBron James,San Antonio Spurs,Michael Jordan,Cleveland Cavaliers,LeBron James,Medium,2,Championships
146,NBA,Which player is known as The Mailman,Karl Malone,Kawhi Leonard,Karl Malone,Kevin Durant,Los Angeles Lakers,Easy,1,Nicknames
147,NBA,Who has the most points in a playoff game,Michael Jordan - 63,Magic Johnson,Michael Jordan - 30.1,LeBron James - 18 years old,Michael Jordan - 63,Hard,3,Records
148,NBA,What is a backcourt violation,Returning ball to backcourt illegally,18 inches,Double digits in three statistical categories,23.75 feet average,Returning ball to backcourt illegally,Medium,2,Rules
149,NBA,Who won the 1995 NBA Finals,Houston Rockets,San Antonio Spurs,Cleveland Cavaliers,Houston Rockets,LeBron James,Easy,1,Championships
150,NBA,Which player famously broke a backboard with a dunk,Darryl Dawkins,Toronto Raptors,Darryl Dawkins,Chicago Bulls,Two step move to evade defenders,Medium,2,Quirky
151,NBA,Who holds the record for most points scored in a rookie season,Wil Chamberlain - 2707,Wil Chamberlain - 2707,Magic Johnson,LeBron James - over 39000 points,John Stockton - 15806,Hard,3,Records
152,NBA,Which team won the 2021 NBA Finals,Milwaukee Bucks,Toronto Raptors,Houston Rockets,Milwaukee Bucks,San Antonio Spurs,Easy,1,Championships
153,NBA,Who has the most career field goals made,Kareem Abdul Jabbar - 15837,Kareem Abdul Jabbar - 15837,Wil Chamberlain - 23924,Stephen Curry,Golden State Warriors - 73,Medium,2,Records
154,NBA,What is the width of an NBA court,50 feet,Pretending to shoot to trick defender,Screen then move to basket play,50 feet,Quick transition scoring opportunity,Medium,2,Rules
155,NBA,Who was the first player to enter the NBA straight from high school,Moses Malone,Moses Malone,LeBron James,John Stockton,Tim Duncan,Hard,3,History
156,NBA,Which player is known as The Admiral,David Robinson,Kevin Durant,James Harden,Kawhi Leonard,David Robinson,Easy,1,Nicknames
157,NBA,Who has the most career minutes played,Kareem Abdul Jabbar - over 57000,Magic Johnson,LeBron James - over 39000 points,Stephen Curry,Kareem Abdul Jabbar - over 57000,Hard,3,Records
158,NBA,What is a flagrant foul,Excessive or violent contact,Violation of sportsmanship rules,Excessive or violent contact,48 minutes,18 inches,Medium,2,Rules
159,NBA,Who won the 2011 NBA Finals,Dallas Mavericks,Dallas Mavericks,Detroit Pistons,Boston Celtics,Cleveland Cavaliers,Easy,1,Championships
160,NBA,Which player is known as The Dream,Hakeem Olajuwon,Allen Iverson,David Robinson,Shaquille O Neal,Hakeem Olajuwon,Easy,1,Nicknames
161,NBA,Who has the most career offensive rebounds,Moses Malone - 7382,Bill Russell,John Stockton - 3265,Moses Malone - 7382,Michael Jordan - 30.1,Hard,3,Records
162,NBA,What is the diameter of a basketball hoop,18 inches,18 inches,Forceful downward score into basket,Pretending to shoot to trick defender,Illegal interference with ball on way down,Easy,1,Rules
163,NBA,Who was the first overall pick in the 1997 NBA Draft,Tim Duncan,LeBron James,Kobe Bryant,Moses Malone,Tim Duncan,Medium,2,History
164,NBA,Which team drafted Kevin Garnett,Minnesota Timberwolves,Brooklyn Nets,LeBron James,Minnesota Timberwolves,Moses Malone,Medium,2,Players
165,NBA,Who has the most career playoff points,LeBron James - over 8000,LeBron James - over 8000,Wil Chamberlain - 2707,Karl Malone - 9787,Golden State Warriors - 73,Medium,2,Records
166,NBA,What is a charge foul,Offensive foul for running into a defender,Forceful downward score into basket,18 inches,Offensive foul for running into a defender,Violation of sportsmanship rules,Easy,1,Rules
167,NBA,Who won the 2014 NBA Finals,San Antonio Spurs,Miami Heat,Los Angeles Lakers,Houston Rockets,San Antonio Spurs,Easy,1,Championships
168,NBA,Which player is known as The Truth,Paul Pierce,Paul Pierce,Kevin Durant,Shaquille O Neal,Tim Duncan,Easy,1,Nicknames
169,NBA,Who has the most career defensive rebounds,Tim Duncan,Karl Malone,John Stockton - 1164,Wil Chamberlain - 100,Tim Duncan,Hard,3,Records
170,NBA,What is a travel violation,Illegal movement without dribbling,Illegal movement without dribbling,Illegal interference with ball on way down,23.75 feet average,Positioning to secure rebound,Easy,1,Rules
171,NBA,Who won MVP in 1992,Michael Jordan,Luka Doncic,Russell Westbrook,Michael Jordan,Nikola Jokic,Medium,2,Awards
