id,sport,question,correct_answer,choice_a,choice_b,choice_c,choice_d,difficulty,points,category_tag
73,MLB,Who won the 1998 AL MVP,Juan Gonzalez,Juan Gonzalez,Charles Barkley,Stephen Curry,Ted Williams,Hard,3,Awards
74,MLB,Which stadium was nicknamed The House That Ruth Built,Yankee Stadium original,Yankee Stadium original,Wrigley Field,Yankee Stadium,Dodger Stadium,Medium,2,Stadiums
75,MLB,Who has the most career shutouts,Walter Johnson – 110,Walter Johnson – 110,Charles Barkley,Ted Williams,Willie Mays,Hard,3,Records
76,MLB,What is a squeeze play,Bunt to score a runner from third,Bunt to score a runner from third,Roger Clemens,Tim Duncan,Ted Williams,Medium,2,Rules
77,MLB,Who was the first pitcher to throw 100 mph officially,Nolan Ryan,Nolan Ryan,Mike Trout,Tim Duncan,Barry Bonds,Medium,2,Records
78,MLB,Which team won the 1986 World Series,New York Mets,New York Mets,Los Angeles Dodgers,Kansas City Royals,Milwaukee Brewers,Easy,1,Championships
79,MLB,Who holds the record for most errors by a shortstop,Bill Dahlen – 975,Bill Dahlen – 975,Magic Johnson,Babe Ruth,Wilt Chamberlain,Hard,3,Records
80,MLB,What is the Mendoza Line,Batting average around 200,Batting average around 200,Derek Jeter,Willie Mays,Kobe Bryant,Easy,1,Quirky
81,MLB,Who won the 2017 World Series,Houston Astros,Houston Astros,Barry Bonds,LeBron James,Nolan Ryan,Easy,1,Championships
82,MLB,Which player has the most career grand slams,Alex Rodriguez – 25,Alex Rodriguez – 25,Wilt Chamberlain,Mariano Rivera,Charles Barkley,Medium,2,Records
83,MLB,Who was the first player to win Rookie of the Year and MVP in same season,Fred Lynn,Fred Lynn,Nolan Ryan,Wilt Chamberlain,Willie Mays,Hard,3,Records
84,MLB,What is OPS short for,On base plus slugging,On base plus slugging,Magic Johnson,Giannis Antetokounmpo,Allen Iverson,Medium,2,Stats
85,MLB,Which team has a sausage race during games,Milwaukee Brewers,Milwaukee Brewers,Washington Nationals,Los Angeles Angels,Tampa Bay Rays,Easy,1,Quirky
86,MLB,Who hit the first home run in MLB history,William Hoy,William Hoy,Larry Bird,Derek Jeter,Magic Johnson,Hard,3,History
87,MLB,Which player was known as The Splendid Splinter,Ted Williams,Ted Williams,Barry Bonds,Tim Duncan,Ken Griffey Jr,Easy,1,Nicknames
88,MLB,What is a can of corn,Easy fly ball,Easy fly ball,Wilt Chamberlain,Hank Aaron,Roger Clemens,Easy,1,Quirky
89,MLB,Who has the most career intentional walks,Barry Bonds – 688,Barry Bonds – 688,LeBron James,Derek Jeter,Magic Johnson,Hard,3,Records
90,MLB,Which team won the 2009 World Series,New York Yankees,New York Yankees,New York Mets,St. Louis Cardinals,Cincinnati Reds,Easy,1,Championships
91,MLB,Who was the first closer to record 500 saves,Trevor Hoffman,Trevor Hoffman,Charles Barkley,Alex Rodriguez,Ted Williams,Medium,2,Records
92,MLB,What is a double switch,Substitution involving pitcher and position player,Substitution involving pitcher and position player,Stephen Curry,Michael Jordan,Alex Rodriguez,Hard,3,Rules
93,MLB,Which player famously flipped his bat in 2015 playoffs,Jose Bautista,Jose Bautista,Randy Johnson,Nolan Ryan,Ted Williams,Easy,1,Quirky
94,MLB,Who has the most career hit by pitches,Hughie Jennings – 287,Hughie Jennings – 287,Giannis Antetokounmpo,Shaquille O'Neal,LeBron James,Hard,3,Records
95,MLB,Which team moved from Seattle to become the Milwaukee Brewers,Seattle Pilots,Seattle Pilots,Minnesota Twins,New York Yankees,Pittsburgh Pirates,Medium,2,History
96,MLB,What is a ground rule double,Ball automatically awarded two bases,Ball automatically awarded two bases,Returning ball to backcourt illegally,Illegal movement without dribbling,Positioning to secure rebound,Easy,1,Rules
97,MLB,Who won the 2001 World Series,Arizona Diamondbacks,Arizona Diamondbacks,Nolan Ryan,LeBron James,Derek Jeter,Medium,2,Championships
98,MLB,Which player has the highest single season batting average since 1941,Ted Williams – 406,Ted Williams – 406,Randy Johnson,Charles Barkley,LeBron James,Hard,3,Records
99,MLB,What is the term for a pitcher who throws sidearm,Submarine pitcher,Submarine pitcher,Walks and Hits per Inning Pitched,Positioning to secure rebound,Offensive foul for running into a defender,Medium,2,Quirky
100,MLB,Who caught the final out of the 2016 World Series,Michael Martinez,Michael Martinez,Mike Trout,Allen Iverson,Randy Johnson,Hard,3,History
101,NBA,Who is the all time leading scorer in NBA history,LeBron James – over 39000,LeBron James – over 39000,Mike Trout,Giannis Antetokounmpo,Magic Johnson,Easy,1,Records
102,NBA,Which team has won the most NBA championships,Boston Celtics – 17 tied,Boston Celtics – 17 tied,Minnesota Timberwolves,Cleveland Cavaliers,Detroit Pistons,Easy,1,Championships
103,NBA,Who is known as His Airness,Michael Jordan,Michael Jordan,Kareem Abdul-Jabbar,Charles Barkley,Stephen Curry,Easy,1,Nicknames
104,NBA,What year was the NBA founded,1946,1946,1936,1951,1926,Medium,2,History
105,NBA,Who has the most career assists,John Stockton – 15806,John Stockton – 15806,Allen Iverson,Kevin Durant,Mariano Rivera,Easy,1,Records
106,NBA,Which team drafted Kobe Bryant,Charlotte Hornets traded to Los Angeles Lakers,Charlotte Hornets traded to Los Angeles Lakers,Milwaukee Bucks,Miami Heat,Phoenix Suns,Medium,2,History
107,NBA,Who has the most career rebounds,Wil Chamberlain – 23924,Wil Chamberlain – 23924,Nolan Ryan,LeBron James,Larry Bird,Medium,2,Records
108,NBA,What is a triple double,Double digits in three statistical categories,Double digits in three statistical categories,Alex Rodriguez,Wilt Chamberlain,Michael Jordan,Easy,1,Rules
109,NBA,Who won the 2016 NBA Finals,Cleveland Cavaliers,Cleveland Cavaliers,Roger Clemens,Hank Aaron,Barry Bonds,Easy,1,Championships
110,NBA,Which player scored 100 points in a single game,Wil Chamberlain – 100,Wil Chamberlain – 100,Charles Barkley,Mike Trout,Giannis Antetokounmpo,Easy,1,Records
111,NBA,Who has the most MVP awards,Kareem Abdul Jabbar – 6,Kareem Abdul Jabbar – 6,LeBron James,Allen Iverson,Kevin Durant,Easy,1,Awards
112,NBA,What team is known as the Showtime Lakers,Los Angeles Lakers,Los Angeles Lakers,Sacramento Kings,Houston Rockets,Dallas Mavericks,Easy,1,Nicknames
113,NBA,Who was the first overall pick in the 2003 NBA Draft,LeBron James,LeBron James,Shaquille O'Neal,Allen Iverson,Alex Rodriguez,Easy,1,History
114,NBA,Which player is known as The Greek Freak,Giannis Antetokounmpo,Giannis Antetokounmpo,Mike Trout,Charles Barkley,Alex Rodriguez,Easy,1,Nicknames
115,NBA,Who has the most career steals,John Stockton – 3265,John Stockton – 3265,Kevin Durant,Alex Rodriguez,Barry Bonds,Medium,2,Records
116,NBA,What is the length of an NBA game,48 minutes,48 minutes,Roger Clemens,LeBron James,Tim Duncan,Easy,1,Rules
117,NBA,Who won the 2020 NBA Finals,Los Angeles Lakers,Los Angeles Lakers,Ken Griffey Jr,Wilt Chamberlain,Charles Barkley,Easy,1,Championships
118,NBA,Which player is known as The Answer,Allen Iverson,Allen Iverson,Roger Clemens,Magic Johnson,Kareem Abdul-Jabbar,Easy,1,Nicknames
119,NBA,Who holds the record for most three pointers made,Stephen Curry,Stephen Curry,Barry Bonds,Hank Aaron,Ken Griffey Jr,Easy,1,Records
120,NBA,What is a slam dunk,Forceful downward score into basket,Forceful downward score into basket,Willie Mays,Randy Johnson,Roger Clemens,Easy,1,Rules
121,NBA,Who was the Finals MVP in 1998,Michael Jordan,Michael Jordan,Alex Rodriguez,Ken Griffey Jr,LeBron James,Medium,2,Championships
122,NBA,Which team relocated from Seattle to become the Oklahoma City Thunder,Seattle SuperSonics,Seattle SuperSonics,Miami Heat,Milwaukee Bucks,Boston Celtics,Medium,2,History
123,NBA,Who has the highest career points per game average,Michael Jordan – 30.1,Michael Jordan – 30.1,Allen Iverson,Babe Ruth,Alex Rodriguez,Medium,2,Records
124,NBA,What is a technical foul,Violation of sportsmanship rules,Violation of sportsmanship rules,Barry Bonds,Ted Williams,Michael Jordan,Medium,2,Rules
125,NBA,Who won Rookie of the Year in 2019,Luka Doncic,Luka Doncic,Randy Johnson,Charles Barkley,Magic Johnson,Medium,2,Awards
126,NBA,Which player was known as Big Fundamental,Tim Duncan,Tim Duncan,Giannis Antetokounmpo,Derek Jeter,LeBron James,Easy,1,Nicknames
127,NBA,Who has the most career blocks,Hakeem Olajuwon – 3830,Hakeem Olajuwon – 3830,LeBron James,Ted Williams,Larry Bird,Hard,3,Records
128,NBA,What is the three point line distance,23.75 feet average,23.75 feet average,Derek Jeter,Hank Aaron,Kobe Bryant,Medium,2,Rules
129,NBA,Who won the 2019 NBA Finals,Toronto Raptors,Toronto Raptors,Kevin Durant,Stephen Curry,Nolan Ryan,Easy,1,Championships
130,NBA,Which player is known as KD,Kevin Durant,Kevin Durant,Wilt Chamberlain,Kobe Bryant,Roger Clemens,Easy,1,Nicknames
131,NBA,Who has the most triple doubles,Russell Westbrook,Russell Westbrook,Stephen Curry,Tim Duncan,Nolan Ryan,Medium,2,Records
132,NBA,What is a shot clock violation,Failure to shoot within 24 seconds,Failure to shoot within 24 seconds,Alex Rodriguez,Magic Johnson,Michael Jordan,Easy,1,Rules
133,NBA,Who was the first player to win MVP unanimously,Stephen Curry – 2016,Stephen Curry – 2016,Roger Clemens,Kareem Abdul-Jabbar,LeBron James,Medium,2,Records
134,NBA,Which team has a dinosaur mascot,Toronto Raptors,Toronto Raptors,Philadelphia 76ers,Washington Wizards,Memphis Grizzlies,Easy,1,Quirky
135,NBA,Who has the most career turnovers,LeBron James,LeBron James,Ted Williams,Mike Trout,Randy Johnson,Hard,3,Records
136,NBA,What is goaltending,Illegal interference with ball on way down,Illegal interference with ball on way down,Kevin Durant,Charles Barkley,Kareem Abdul-Jabbar,Medium,2,Rules
137,NBA,Who won the 2008 NBA Finals,Boston Celtics,Boston Celtics,Willie Mays,Ted Williams,Larry Bird,Easy,1,Championships
138,NBA,Which player is known as The Beard,James Harden,James Harden,Allen Iverson,Derek Jeter,Mariano Rivera,Easy,1,Nicknames
139,NBA,Who has the most career games played,Robert Parish – 1611,Robert Parish – 1611,Allen Iverson,Charles Barkley,Roger Clemens,Hard,3,Records
140,NBA,What is a fast break,Quick transition scoring opportunity,Quick transition scoring opportunity,Alex Rodriguez,Roger Clemens,Kevin Durant,Easy,1,Rules
141,NBA,Who won MVP in 2000,Shaquille O Neal,Shaquille O Neal,Ted Williams,Randy Johnson,Michael Jordan,Medium,2,Awards
142,NBA,Which team drafted Dirk Nowitzki,Milwaukee Bucks traded to Dallas Mavericks,Milwaukee Bucks traded to Dallas Mavericks,LA Clippers,Minnesota Timberwolves,Washington Wizards,Hard,3,History
143,NBA,Who has the most career free throws made,Karl Malone – 9787,Karl Malone – 9787,Shaquille O'Neal,Derek Jeter,Kevin Durant,Medium,2,Records
144,NBA,What is a double dribble,Illegal second dribble after stopping,Illegal second dribble after stopping,Kareem Abdul-Jabbar,Wilt Chamberlain,Magic Johnson,Easy,1,Rules
145,NBA,Who was Finals MVP in 2013,LeBron James,LeBron James,Magic Johnson,Michael Jordan,Kareem Abdul-Jabbar,Medium,2,Championships
146,NBA,Which player is known as The Mailman,Karl Malone,Karl Malone,Michael Jordan,Wilt Chamberlain,Babe Ruth,Easy,1,Nicknames
147,NBA,Who has the most points in a playoff game,Michael Jordan – 63,Michael Jordan – 63,Shaquille O'Neal,Larry Bird,Ken Griffey Jr,Hard,3,Records
148,NBA,What is a backcourt violation,Returning ball to backcourt illegally,Returning ball to backcourt illegally,Mike Trout,Tim Duncan,Larry Bird,Medium,2,Rules
149,NBA,Who won the 1995 NBA Finals,Houston Rockets,Houston Rockets,Mike Trout,Giannis Antetokounmpo,Hank Aaron,Easy,1,Championships
150,NBA,Which player famously broke a backboard with a dunk,Darryl Dawkins,Darryl Dawkins,Kareem Abdul-Jabbar,Willie Mays,Barry Bonds,Medium,2,Quirky
151,NBA,Who holds the record for most points scored in a rookie season,Wil Chamberlain – 2707,Wil Chamberlain – 2707,Hank Aaron,Mariano Rivera,Roger Clemens,Hard,3,Records
152,NBA,Which team won the 2021 NBA Finals,Milwaukee Bucks,Milwaukee Bucks,LA Clippers,Detroit Pistons,Brooklyn Nets,Easy,1,Championships
153,NBA,Who has the most career field goals made,Kareem Abdul Jabbar – 15837,Kareem Abdul Jabbar – 15837,Charles Barkley,Babe Ruth,Mariano Rivera,Medium,2,Records
154,NBA,What is the width of an NBA court,50 feet,50 feet,Kobe Bryant,Randy Johnson,Michael Jordan,Medium,2,Rules
155,NBA,Who was the first player to enter the NBA straight from high school,Moses Malone,Moses Malone,Tim Duncan,Kevin Durant,Nolan Ryan,Hard,3,History
156,NBA,Which player is known as The Admiral,David Robinson,David Robinson,Ted Williams,Magic Johnson,Kareem Abdul-Jabbar,Easy,1,Nicknames
157,NBA,Who has the most career minutes played,Kareem Abdul Jabbar – over 57000,Kareem Abdul Jabbar – over 57000,Alex Rodriguez,Stephen Curry,Mariano Rivera,Hard,3,Records
158,NBA,What is a flagrant foul,Excessive or violent contact,Excessive or violent contact,Larry Bird,Derek Jeter,Michael Jordan,Medium,2,Rules
159,NBA,Who won the 2011 NBA Finals,Dallas Mavericks,Dallas Mavericks,Michael Jordan,Kareem Abdul-Jabbar,Kobe Bryant,Easy,1,Championships
160,NBA,Which player is known as The Dream,Hakeem Olajuwon,Hakeem Olajuwon,Ken Griffey Jr,Allen Iverson,Kobe Bryant,Easy,1,Nicknames
161,NBA,Who has the most career offensive rebounds,Moses Malone – 7382,Moses Malone – 7382,Ken Griffey Jr,Wilt Chamberlain,Stephen Curry,Hard,3,Records
162,NBA,What is the diameter of a basketball hoop,18 inches,18 inches,Kareem Abdul-Jabbar,Kobe Bryant,Alex Rodriguez,Easy,1,Rules
163,NBA,Who was the first overall pick in the 1997 NBA Draft,Tim Duncan,Tim Duncan,Allen Iverson,Roger Clemens,Wilt Chamberlain,Medium,2,History
164,NBA,Which team drafted Kevin Garnett,Minnesota Timberwolves,Minnesota Timberwolves,LA Clippers,Dallas Mavericks,Brooklyn Nets,Medium,2,Players
165,NBA,Who has the most career playoff points,LeBron James – over 8000,LeBron James – over 8000,Mariano Rivera,Hank Aaron,Nolan Ryan,Medium,2,Records
166,NBA,What is a charge foul,Offensive foul for running into a defender,Offensive foul for running into a defender,Larry Bird,Willie Mays,Allen Iverson,Easy,1,Rules
167,NBA,Who won the 2014 NBA Finals,San Antonio Spurs,San Antonio Spurs,Magic Johnson,Kevin Durant,Ken Griffey Jr,Easy,1,Championships
168,NBA,Which player is known as The Truth,Paul Pierce,Paul Pierce,LeBron James,Charles Barkley,Shaquille O'Neal,Easy,1,Nicknames
169,NBA,Who has the most career defensive rebounds,Tim Duncan,Tim Duncan,Barry Bonds,Randy Johnson,Mariano Rivera,Hard,3,Records
170,NBA,What is a travel violation,Illegal movement without dribbling,Illegal movement without dribbling,Kareem Abdul-Jabbar,Kevin Durant,Tim Duncan,Easy,1,Rules
171,NBA,Who won MVP in 1992,Michael Jordan,Michael Jordan,Kobe Bryant,Mike Trout,Alex Rodriguez,Medium,2,Awards
172,NBA,Which team has the most wins in a single season,Golden State Warriors – 73,Golden State Warriors – 73,Indiana Pacers,Utah Jazz,Oklahoma City Thunder,Easy,1,Records
173,NBA,Who has the most career playoff assists,Magic Johnson,Magic Johnson,Alex Rodriguez,Nolan Ryan,Ken Griffey Jr,Hard,3,Records
174,NBA,What is a Euro step,Two step move to evade defenders,Two step move to evade defenders,Wilt Chamberlain,Shaquille O'Neal,Barry Bonds,Easy,1,Quirky
175,NBA,Who won the 2006 NBA Finals,Miami Heat,Miami Heat,Stephen Curry,Mariano Rivera,Charles Barkley,Easy,1,Championships
176,NBA,Which player is known as The Round Mound of Rebound,Charles Barkley,Charles Barkley,Shaquille O'Neal,Allen Iverson,Michael Jordan,Easy,1,Nicknames
177,NBA,Who has the most career fouls committed,Karl Malone,Karl Malone,Ted Williams,Hank Aaron,Kobe Bryant,Hard,3,Records
178,NBA,What is a shot fake,Pretending to shoot to trick defender,Pretending to shoot to trick defender,Giannis Antetokounmpo,Mike Trout,Magic Johnson,Easy,1,Rules
179,NBA,Who was the youngest player drafted number one overall,LeBron James – 18 years old,LeBron James – 18 years old,Michael Jordan,Willie Mays,Magic Johnson,Medium,2,Records
180,NBA,Which team relocated from New Jersey to Brooklyn,Brooklyn Nets,Brooklyn Nets,Toronto Raptors,New York Knicks,Portland Trail Blazers,Easy,1,History
