id,week_number,home_team_id,away_team_id,winner_team_id,is_draw
231,15,BAL,DEN,,FALSE
232,15,DAL,GB,,FALSE
233,15,PHI,DET,,FALSE
234,15,WAS,CHI,,FALSE
235,15,NYG,MIN,,FALSE
236,15,TB,SF,,FALSE
237,15,CAR,SEA,,FALSE
238,15,ATL,LAR,,FALSE
239,15,NO,ARI,,FALSE
240,16,IND,BUF,,FALSE
241,16,JAX,MIA,,FALSE
242,16,TEN,NYJ,,FALSE
243,16,HOU,NE,,FALSE
244,16,KC,CIN,,FALSE
245,16,LV,CLE,,FALSE
246,16,LAC,PIT,,FALSE
247,16,DEN,BAL,,FALSE
248,16,GB,DAL,,FALSE
249,16,DET,PHI,,FALSE
250,16,CHI,WAS,,FALSE
251,16,MIN,NYG,,FALSE
252,16,SF,TB,,FALSE
253,16,SEA,CAR,,FALSE
254,16,LAR,ATL,,FALSE
255,16,ARI,NO,,FALSE
256,17,BUF,JAX,,FALSE
257,17,MIA,TEN,,FALSE
258,17,NYJ,HOU,,FALSE
259,17,NE,IND,,FALSE
260,17,CIN,LV,,FALSE
261,17,CLE,LAC,,FALSE
262,17,PIT,DEN,,FALSE
263,17,BAL,KC,,FALSE
264,17,DAL,PHI,,FALSE
265,17,WAS,DET,,FALSE
266,17,NYG,GB,,FALSE
267,17,CHI,MIN,,FALSE
268,17,TB,ARI,,FALSE
269,17,CAR,LAR,,FALSE
270,17,ATL,SF,,FALSE
271,17,NO,SEA,,FALSE
272,18,JAX,BUF,,FALSE
273,18,TEN,MIA,,FALSE
274,18,HOU,NYJ,,FALSE
275,18,IND,NE,,FALSE
276,18,LV,CIN,,FALSE
277,18,LAC,CLE,,FALSE
278,18,DEN,PIT,,FALSE
279,18,KC,BAL,,FALSE
280,18,PHI,DAL,,FALSE
281,18,DET,WAS,,FALSE
282,18,GB,NYG,,FALSE
283,18,MIN,CHI,,FALSE
284,18,ARI,TB,,FALSE
285,18,LAR,CAR,,FALSE
286,18,SF,ATL,,FALSE
287,18,SEA,NO,,FALSE
